pid,high,low,bullishCandles,entryPrice,tradeType,lastCandleRange,secondLastCandleRange,outcome
10389,2740.57,2738.67,7,2740.59,Buy,0.11000000000012733,0.05999999999994543,5.43
10390,2740.57,2738.67,7,2740.34,Buy,0.32999999999992724,0.11000000000012733,5.14
10391,2740.65,2738.67,8,2740.75,Buy,0.2600000000002183,0.32999999999992724,5.36
10392,2740.89,2738.78,8,2740.99,Buy,0.23999999999978172,0.2600000000002183,5.12
10393,2740.89,2739.34,7,2740.73,Buy,0.2699999999999818,0.23999999999978172,5.04
10394,2742.08,2740.39,7,2742.14,Buy,0.38000000000010914,0.11000000000012733,5.44
10395,2742.25,2740.39,8,2742.35,Buy,0.17000000000007276,0.38000000000010914,5.2
10396,2742.21,2740.39,7,2742.04,Buy,0.3200000000001637,0.17000000000007276,5.09
10397,2741.68,2739.77,7,2741.77,Buy,0.3599999999996726,0.22000000000025466,5.05
10398,2741.95,2739.77,8,2742.05,Buy,0.2699999999999818,0.3599999999996726,5
10399,2742.44,2740.38,8,2742.54,Buy,0.49000000000023647,0.2699999999999818,5.04
10400,2742.77,2740.8,8,2742.87,Buy,0.32999999999992724,0.49000000000023647,-5.02
10401,2742.97,2741.03,8,2743.05,Buy,0.1999999999998181,0.32999999999992724,5.07
10402,2743.05,2741.12,8,2743.14,Buy,0.1000000000003638,0.1999999999998181,-5.26
10403,2743.66,2741.12,8,2743.76,Buy,0.6100000000001273,0.1000000000003638,-5.06
10404,2743.65,2741.12,8,2743.3,Buy,0.4499999999998181,0.6100000000001273,-5.53
10405,2743.65,2741.32,8,2743.49,Buy,0.2600000000002183,0.4499999999998181,-5.61
10406,2743.65,2741.67,8,2743.54,Buy,0.0500000000001819,0.2600000000002183,-5.69
10407,2743.65,2741.95,7,2742.61,Buy,0.8000000000001819,0.0500000000001819,5.51
10408,2744.12,2742.51,7,2744.19,Buy,0.09999999999990905,1.180000000000291,-5.25
10409,2744.44,2742.37,7,2744.52,Buy,0.38999999999987267,0.05999999999994543,-5.82
10410,2744.45,2741.37,7,2744.51,Buy,0.05999999999994543,0.19000000000005457,-5.18
10411,2744.49,2741.37,8,2744.59,Buy,0.07000000000016371,0.05999999999994543,-5.37
10412,2744.76,2741.61,8,2744.86,Buy,0.15000000000009095,0.07000000000016371,-5.53
10413,2744.7,2742.45,7,2744.74,Buy,0.06000000000040018,0.15000000000009095,-5.52
10414,2744.92,2743.08,7,2745.01,Buy,0.2800000000002001,0.06000000000040018,-5.58
10415,2745.07,2743.69,7,2745.13,Buy,0.16000000000030923,0.2800000000002001,-5.91
10416,2745.48,2743.69,8,2745.58,Buy,0.33999999999969077,0.16000000000030923,-6.25
10417,2745.37,2744.22,7,2744.59,Buy,1.0599999999999454,0.33999999999969077,-6.71
